ibge_code,municipio,regiao_intermediaria,regiao_imediata,populacao_censo_2022,total_denuncias,total_penal,denuncias_unicas,denuncias_unicas_penal,sem_grupo_total,sem_grupo_penal,criancas_total,criancas_penal,mulheres_total,mulheres_penal,idosos_total,idosos_penal,pcd_total,pcd_penal,lgbt_total,lgbt_penal,prisional_total,prisional_penal,denuncias_unicas_maioria_penal,total_registros,total_social,taxa_total_10k,taxa_penal_10k,taxa_denuncias_unicas_10k,taxa_denuncias_maioria_penal_10k,taxa_criancas_10k,taxa_criancas_penal_10k,taxa_mulheres_10k,taxa_mulheres_penal_10k,taxa_idosos_10k,taxa_idosos_penal_10k,taxa_pcd_10k,taxa_pcd_penal_10k,taxa_lgbt_10k,taxa_lgbt_penal_10k,taxa_prisional_10k,taxa_prisional_penal_10k
4200051,Abdon Batista,Chapecó,Joaçaba - Herval d'Oeste,2598,183,138,22,21,1,0,19,14,11,11,152,114,33,20,0,0,0,0,21,183,45,704.39,531.18,84.68,80.83,73.13,53.89,42.34,42.34,585.07,438.8,127.02,76.98,0.0,0.0,0.0,0.0
4200101,Abelardo Luz,Chapecó,Xanxerê,17392,1348,861,161,154,32,22,657,419,12,12,553,349,385,258,0,0,3,1,121,1348,487,775.07,495.06,92.57,69.57,377.76,240.92,6.9,6.9,317.96,200.67,221.37,148.34,0.0,0.0,1.72,0.57
4200200,Agrolândia,Blumenau,Rio do Sul,10990,736,456,85,80,117,67,356,212,17,14,64,47,208,135,0,0,1,0,58,736,280,669.7,414.92,77.34,52.78,323.93,192.9,15.47,12.74,58.23,42.77,189.26,122.84,0.0,0.0,0.91,0.0
4200309,Agronômica,Blumenau,Rio do Sul,6055,508,317,60,58,68,51,311,170,9,6,24,15,125,94,0,0,3,2,37,508,191,838.98,523.53,99.09,61.11,513.63,280.76,14.86,9.91,39.64,24.77,206.44,155.24,0.0,0.0,4.95,3.3
4200408,Água Doce,Chapecó,Joaçaba - Herval d'Oeste,6508,762,447,93,88,15,6,404,229,31,23,276,173,75,49,0,0,3,2,57,762,315,1170.87,686.85,142.9,87.58,620.77,351.87,47.63,35.34,424.09,265.83,115.24,75.29,0.0,0.0,4.61,3.07
4200507,Águas de Chapecó,Chapecó,Chapecó,6036,342,207,52,51,10,6,175,108,1,1,156,93,23,18,0,0,0,0,28,342,135,566.6,342.94,86.15,46.39,289.93,178.93,1.66,1.66,258.45,154.08,38.1,29.82,0.0,0.0,0.0,0.0
4200556,Águas Frias,Chapecó,Chapecó,2839,170,89,27,24,29,13,85,46,0,0,56,30,8,5,0,0,0,0,9,170,81,598.8,313.49,95.1,31.7,299.4,162.03,0.0,0.0,197.25,105.67,28.18,17.61,0.0,0.0,0.0,0.0
4200606,Águas Mornas,Florianópolis,Florianópolis,6743,636,357,74,72,27,13,367,202,35,16,175,111,113,70,0,0,0,0,59,636,279,943.2,529.44,109.74,87.5,544.27,299.57,51.91,23.73,259.53,164.62,167.58,103.81,0.0,0.0,0.0,0.0
4200705,Alfredo Wagner,Florianópolis,Florianópolis,10481,1912,1153,261,247,85,66,915,502,22,16,771,487,457,302,22,10,12,5,140,1912,759,1824.25,1100.09,249.02,133.58,873.01,478.96,20.99,15.27,735.62,464.65,436.03,288.14,20.99,9.54,11.45,4.77
4200754,Alto Bela Vista,Chapecó,Concórdia,1856,170,128,24,24,16,10,28,22,20,20,87,63,42,34,0,0,0,0,20,170,42,915.95,689.66,129.31,107.76,150.86,118.53,107.76,107.76,468.75,339.44,226.29,183.19,0.0,0.0,0.0,0.0
