ibge_code,municipio,regiao_intermediaria,regiao_imediata,populacao_censo_2022,total_registros,total_penal,total_social,denuncias_unicas,denuncias_unicas_maioria_penal,taxa_total_10k,taxa_penal_10k,categoria_penal_predominante
4209409,Laguna,Criciúma,Tubarão,42785,8138,4975,3163,970,621,1902.07,1162.79,CRIMES_INTEGRIDADE_FISICA_E_TORTURA
4209300,Lages,Lages,Lages,164981,23772,14470,9302,2950,1852,1440.89,877.07,CRIMES_INTEGRIDADE_FISICA_E_TORTURA
4212809,Balneário Piçarras,Blumenau,Itajaí,27127,3476,2232,1244,470,332,1281.38,822.8,CRIMES_INTEGRIDADE_FISICA_E_TORTURA
4212502,Penha,Blumenau,Itajaí,33663,4578,2756,1822,641,358,1359.95,818.7,CRIMES_INTEGRIDADE_FISICA_E_TORTURA
4202404,Blumenau,Blumenau,Blumenau,361261,45917,28620,17297,6495,4134,1271.02,792.23,CRIMES_INTEGRIDADE_FISICA_E_TORTURA
4205407,Florianópolis,Florianópolis,Florianópolis,537211,65562,42367,23195,9426,6036,1220.41,788.65,CRIMES_INTEGRIDADE_FISICA_E_TORTURA
4215703,Santo Amaro da Imperatriz,Florianópolis,Florianópolis,27272,3485,2130,1355,446,284,1277.87,781.02,CRIMES_INTEGRIDADE_FISICA_E_TORTURA
4205704,Garopaba,Florianópolis,Florianópolis,29959,3800,2277,1523,530,339,1268.4,760.04,CRIMES_INTEGRIDADE_FISICA_E_TORTURA
4217709,Sombrio,Criciúma,Araranguá,29991,3710,2226,1484,472,282,1237.04,742.22,CRIMES_INTEGRIDADE_FISICA_E_TORTURA
4213500,Porto Belo,Blumenau,Itajaí,27688,3258,2053,1205,426,284,1176.68,741.48,CRIMES_INTEGRIDADE_FISICA_E_TORTURA
4218707,Tubarão,Criciúma,Tubarão,110088,12522,7871,4651,1782,1139,1137.45,714.97,CRIMES_INTEGRIDADE_FISICA_E_TORTURA
4211900,Palhoça,Florianópolis,Florianópolis,222598,26732,15806,10926,3697,2279,1200.91,710.07,CRIMES_INTEGRIDADE_FISICA_E_TORTURA
4202107,Barra Velha,Blumenau,Itajaí,45369,4978,3064,1914,678,424,1097.22,675.35,CRIMES_INTEGRIDADE_FISICA_E_TORTURA
4215802,São Bento do Sul,Joinville,São Bento do Sul - Rio Negrinho,83277,9319,5601,3718,1351,760,1119.04,672.57,CRIMES_INTEGRIDADE_FISICA_E_TORTURA
4202305,Biguaçu,Florianópolis,Florianópolis,76773,8432,5078,3354,1058,663,1098.3,661.43,CRIMES_INTEGRIDADE_FISICA_E_TORTURA
